zip,lat,lon,city
36305,31.219697,-85.4828,DOTHAN
36310,31.559402,-85.222965,ABBEVILLE
36311,31.455485,-85.633907,ARITON
36312,31.189627,-85.262314,ASHFORD
36313,31.150094,-85.813687,BELLWOOD
36314,31.096354,-85.83934,BLACK
36316,31.176749,-85.813483,CHANCELLOR
36317,31.407872,-85.603458,CLOPTON
36318,31.149764,-85.946093,COFFEE SPRINGS
36319,31.22514,-85.171875,COLUMBIA
36320,31.099623,-85.314295,COTTONWOOD
36321,31.202473,-85.301373,COWARTS
36322,31.272415,-85.705129,DALEVILLE
36323,31.407434,-86.083517,ELBA
36330,31.315846,-85.942956,ENTERPRISE
36331,31.297817,-85.90364,ENTERPRISE
36340,31.053473,-85.784393,GENEVA
36343,31.080374,-85.168005,GORDON
36344,31.105822,-85.690252,HARTFORD
36345,31.357917,-85.30124,HEADLAND
36346,31.565157,-85.970956,JACK
36349,31.121244,-85.559235,MALVERN
36350,31.33494,-85.511331,MIDLAND CITY
36351,31.398322,-85.927933,NEW BROCKTON
36352,31.352897,-85.659319,NEWTON
36353,31.411109,-85.366472,NEWVILLE
36360,31.450171,-85.65182,OZARK
36361,31.407872,-85.603458,OZARK
36362,31.327347,-85.737811,FORT RUCKER
36370,31.14031,-85.157345,PANSEY
36371,31.307446,-85.52633,PINCKARD
36373,31.501042,-85.113506,SHORTERVILLE
36374,31.574779,-85.536957,SKIPPERVILLE
36375,31.137138,-85.564508,SLOCOMB
36376,31.252306,-85.264387,WEBB
36401,31.489241,-87.052004,EVERGREEN
36420,31.304166,-86.386398,ANDALUSIA
36425,31.56779,-87.250028,BEATRICE
36426,31.129427,-87.096126,BREWTON
36427,31.091784,-87.26404,BREWTON
36429,31.466945,-87.044687,BROOKLYN
36431,31.529531,-87.345345,BURNT CORN
36432,31.370941,-86.998104,CASTLEBERRY
36435,31.871803,-87.412893,COY
36436,31.58842,-87.840875,DICKINSON
36439,31.429472,-87.339329,EXCEL
36441,31.060013,-87.199942,FLOMATON
36442,31.019653,-86.329568,FLORALA
36444,31.590428,-87.447935,FRANKLIN
36445,31.522005,-87.381527,FRISCO CITY
36446,31.782639,-87.741085,FULTON
36449,31.529531,-87.345345,GOODWAY
36451,31.704953,-87.801307,GROVE HILL
36453,31.238943,-86.124023,KINSTON
36454,31.466945,-87.044687,LENOX
36455,31.260882,-86.444833,LOCKHART
36456,31.546733,-86.713793,MC KENZIE
36457,31.361214,-87.435279,MEGARGEL
36458,31.514659,-87.408362,MEXIA
36460,31.56713,-87.314222,MONROEVILLE
36461,31.522093,-87.341108,MONROEVILLE
36462,31.529531,-87.345345,MONROEVILLE
36467,31.260401,-86.356208,OPP
36470,31.508073,-87.428429,PERDUE HILL
36471,31.606263,-87.21944,PETERMAN
36473,31.466945,-87.044687,RANGE
36474,31.260882,-86.444833,RED LEVEL
36475,31.371175,-87.298377,REPTON
36476,31.260882,-86.444833,RIVER FALLS
36477,31.07181,-86.113647,SAMSON
36480,31.541789,-87.500236,URIAH
